[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy3 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260920
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[  1] 绾?b2b9 (7, 1)->(0, 1) 缈诲紑=浠?鍚?b杌?鐢ㄦ椂 0.95s (score=154 depth=5)
[121] 绾?a1a2 (8, 0)->(7, 0)  鐢ㄦ椂 0.92s (score=1 depth=9)
[122] 榛?g6h7 (6, 2)->(7, 1)  鐢ㄦ椂 1.50s (score=21 depth=9)
[123] 绾?f5f2 (4, 5)->(7, 5)  鐢ㄦ椂 0.77s (score=3 depth=9)
[124] 榛?h7g8 (7, 1)->(8, 2)  鐢ㄦ椂 1.32s (score=-10 depth=10)
[125] 绾?a2a3 (7, 0)->(6, 0)  鐢ㄦ椂 0.96s (score=8 depth=9)
[126] 榛?g8f7 (8, 2)->(7, 3)  鐢ㄦ椂 0.98s (score=-8 depth=9)
[127] 绾?a3a4 (6, 0)->(5, 0)  鐢ㄦ椂 1.10s (score=11 depth=9)
[128] 榛?e8f8 (8, 4)->(8, 3)  鐢ㄦ椂 1.54s (score=-12 depth=9)
[129] 绾?f2f5 (7, 5)->(4, 5)  鐢ㄦ椂 1.03s (score=-3 depth=9)
[130] 榛?f7e8 (7, 3)->(8, 4)  鐢ㄦ椂 1.18s (score=15 depth=10)
[131] 绾?f0f1 (9, 5)->(8, 5)  鐢ㄦ椂 0.99s (score=-20 depth=10)
[132] 榛?e8f7 (8, 4)->(7, 3)  鐢ㄦ椂 1.41s (score=-15 depth=10)
[133] 绾?f1f2 (8, 5)->(7, 5)  鐢ㄦ椂 1.27s (score=-10 depth=9)
[134] 榛?f7g6 (7, 3)->(6, 2)  鐢ㄦ椂 1.55s (score=-3 depth=8)
[135] 绾?f2e2 (7, 5)->(7, 4)  鐢ㄦ椂 1.01s (score=10 depth=8)
[136] 榛?g6f5 (6, 2)->(5, 3)  鐢ㄦ椂 1.51s (score=-6 depth=7)
[137] 绾?f5f4 (4, 5)->(5, 5)  鐢ㄦ椂 1.05s (score=0 depth=7)
[138] 榛?f5e6 (5, 3)->(6, 4)  鐢ㄦ椂 1.43s (score=6 depth=8)
[139] 绾?f4e4 (5, 5)->(5, 4)  鐢ㄦ椂 1.38s (score=4 depth=8)
[140] 榛?e6d7 (6, 4)->(7, 5)  鐢ㄦ椂 1.52s (score=3 depth=8)
[141] 绾?a4a5 (5, 0)->(4, 0)  鐢ㄦ椂 1.16s (score=10 depth=8)
[142] 榛?d7e8 (7, 5)->(8, 4)  鐢ㄦ椂 1.53s (score=15 depth=7)
[143] 绾?a5a6 (4, 0)->(3, 0)  鐢ㄦ椂 1.28s (score=13 depth=8)
[144] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 0.92s (score=9 depth=8)
[145] 绾?a6a7 (3, 0)->(2, 0)  鐢ㄦ椂 1.54s (score=13 depth=7)
[146] 榛?f8e8 (8, 3)->(8, 4)  鐢ㄦ椂 1.05s (score=12 depth=8)
[147] 绾?a7a8 (2, 0)->(1, 0)  鐢ㄦ椂 1.30s (score=15 depth=8)
[148] 榛?e8d8 (8, 4)->(8, 5)  鐢ㄦ椂 1.18s (score=-12 depth=9)
[149] 绾?a8b8 (1, 0)->(1, 1)  鐢ㄦ椂 1.44s (score=9 depth=8)
[150] 榛?f9g8 (9, 3)->(8, 2)  鐢ㄦ椂 1.51s (score=-16 depth=8)
[151] 绾?e8f8 (1, 4)->(1, 5)  鐢ㄦ椂 1.47s (score=-12 depth=8)
[152] 榛?d0d1 (0, 5)->(1, 5) 鍚?r鍏?鐢ㄦ椂 1.46s (score=81 depth=9)
[153] 绾?e4e8 (5, 4)->(1, 4)  鐢ㄦ椂 1.24s (score=-1 depth=8)
[154] 榛?d1d0 (1, 5)->(0, 5)  鐢ㄦ椂 1.04s (score=20 depth=9)
[155] 绾?e8e9 (1, 4)->(0, 4)  鐢ㄦ椂 1.05s (score=-14 depth=8)
[156] 榛?g8f9 (8, 2)->(9, 3)  鐢ㄦ椂 1.52s (score=16 depth=8)
[157] 绾?b8c8 (1, 1)->(1, 2)  鐢ㄦ椂 1.03s (score=5 depth=8)
[158] 榛?f9g8 (9, 3)->(8, 2)  鐢ㄦ椂 1.54s (score=-16 depth=8)
[159] 绾?c8d8 (1, 2)->(1, 3)  鐢ㄦ椂 1.55s (score=12 depth=7)
[160] 榛?g8f9 (8, 2)->(9, 3)  鐢ㄦ椂 1.51s (score=16 depth=8)
[161] 绾?e9d9 (0, 4)->(0, 3)  鐢ㄦ椂 1.53s (score=12 depth=8)
[162] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 0.85s (score=-9 depth=9)
[163] 绾?d8e8 (1, 3)->(1, 4)  鐢ㄦ椂 1.55s (score=12 depth=7)
[164] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.34s (score=9 depth=8)
[165] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.52s (score=-5 depth=7)
[166] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.25s (score=-9 depth=8)
[167] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.86s (score=5 depth=7)
[168] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.36s (score=9 depth=8)
[169] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.55s (score=-5 depth=7)
[170] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.11s (score=-9 depth=8)
[171] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.82s (score=5 depth=7)
[172] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.35s (score=9 depth=8)
[173] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.60s (score=-5 depth=7)
[174] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 0.76s (score=-9 depth=7)
[175] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 1.02s (score=5 depth=7)
[176] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.46s (score=9 depth=8)
[177] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.56s (score=-5 depth=7)
[178] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.13s (score=-9 depth=8)
[179] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.82s (score=5 depth=7)
[180] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.41s (score=9 depth=8)
[181] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.50s (score=-5 depth=7)
[182] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.15s (score=-9 depth=8)
[183] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.79s (score=5 depth=7)
[184] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.34s (score=9 depth=8)
[185] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.57s (score=-5 depth=7)
[186] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.13s (score=-9 depth=8)
[187] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.79s (score=5 depth=7)
[188] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.47s (score=9 depth=8)
[189] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.55s (score=-5 depth=7)
[190] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.21s (score=-9 depth=8)
[191] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 1.08s (score=5 depth=7)
[192] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.50s (score=9 depth=7)
[193] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 0.80s (score=-5 depth=7)
[194] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.53s (score=-9 depth=7)
[195] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 1.00s (score=5 depth=7)
[196] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.47s (score=9 depth=8)
[197] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.50s (score=-5 depth=7)
[198] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.28s (score=-9 depth=8)
[199] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.85s (score=5 depth=7)
[200] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.45s (score=9 depth=8)
[201] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.56s (score=-5 depth=7)
[202] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.23s (score=-9 depth=8)
[203] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.89s (score=5 depth=7)
[204] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.43s (score=9 depth=8)
[205] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.54s (score=-5 depth=7)
[206] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.24s (score=-9 depth=8)
[207] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.89s (score=5 depth=7)
[208] 榛?e8f9 (8, 4)->(9, 3)  鐢ㄦ椂 1.48s (score=9 depth=8)
[209] 绾?d9d8 (0, 3)->(1, 3)  鐢ㄦ椂 1.55s (score=-5 depth=7)
[210] 榛?f9e8 (9, 3)->(8, 4)  鐢ㄦ椂 1.22s (score=-9 depth=8)
[211] 绾?d8d9 (1, 3)->(0, 3)  鐢ㄦ椂 0.86s (score=5 depth=7)
