[*] 瑁佸垽鍚姩: pypy3 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260919
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v3)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy3 (v5.6 鍩虹嚎+鐪熼潤鎬佹悳绱?
[*] 榛戞柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[198] 榛?e2d2 (2, 4)->(2, 5)  鐢ㄦ椂 0.80s (score=-10 depth=8)

========================================================
瀵瑰眬缁撴灉
========================================================
鍜屾
鍘熷洜: 杩炵画 120 涓崐鐫€鏃犲悆瀛? 鍒ゅ拰
鎬绘鏁? 198 鐫€, 鍏ㄥ眬澧欓挓 224.4s

鍙屾柟鐢ㄦ椂:
  pypy3 (绾㈡柟):  99 鐫€  鎬荤敤鏃?  113.9s  骞冲潎  1.15s  鏈€闀?  1.55s
  pypy  (榛戞柟):  99 鐫€  鎬荤敤鏃?  110.4s  骞冲潎  1.11s  鏈€闀?  1.60s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260819_150233.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 路 路 路 r杌?路 路 路 路
 1 | 路 路 r浠?路 路 r鍏?路 路 路
 2 | 路 路 路 路 路 b灏?路 路 路
 3 | 路 路 路 路 路 路 路 路 路
 4 | 路 路 路 路 路 b鍗?b璞?路 路
 5 | 路 路 r鐩?路 路 路 路 路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 b澹?路 b杌?路 路 b澹?
 8 | 路 路 b棣?r甯?路 路 路 路 路
 9 | 路 路 路 路 路 路 路 路 路
