[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260935
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[115] 绾?e4g6 (5, 4)->(3, 6)  鐢ㄦ椂 0.80s (score=5 depth=8)
[116] 榛?e3e4 (3, 4)->(4, 4)  鐢ㄦ椂 1.22s (score=14 depth=7)
[117] 绾?f1e1 (8, 5)->(8, 4)  鐢ㄦ椂 0.71s (score=10 depth=7)
[118] 榛?e4e5 (4, 4)->(5, 4)  鐢ㄦ椂 0.95s (score=10 depth=7)
[119] 绾?g6e4 (3, 6)->(5, 4) 鍚?b鍗?鐢ㄦ椂 1.44s (score=34 depth=8)
[120] 榛?g6e5 (6, 2)->(5, 4) 鍚?r鐩?鐢ㄦ椂 0.79s (score=77 depth=7)
[121] 绾?e1d1 (8, 4)->(8, 3)  鐢ㄦ椂 1.53s (score=-10 depth=8)
[122] 榛?f9e9 (9, 3)->(9, 4)  鐢ㄦ椂 1.02s (score=0 depth=8)
[123] 绾?d1e1 (8, 3)->(8, 4)  鐢ㄦ椂 1.30s (score=10 depth=9)
[124] 榛?f2e1 (2, 3)->(1, 4)  鐢ㄦ椂 0.91s (score=5 depth=7)
[125] 绾?f9g9 (0, 5)->(0, 6)  鐢ㄦ椂 1.39s (score=-2 depth=9)
[126] 榛?e1d2 (1, 4)->(2, 5)  鐢ㄦ椂 0.91s (score=-5 depth=7)
[127] 绾?g9f9 (0, 6)->(0, 5)  鐢ㄦ椂 0.98s (score=2 depth=10)
[128] 榛?d2c1 (2, 5)->(1, 6)  鐢ㄦ椂 0.79s (score=-5 depth=7)
[129] 绾?f9g9 (0, 5)->(0, 6)  鐢ㄦ椂 0.71s (score=-2 depth=8)
[130] 榛?b6b7 (6, 7)->(7, 7)  鐢ㄦ椂 1.04s (score=17 depth=7)
